"Date","Open","High","Low","Close","Adj Close","Volume"
"2025-11-06","461.96","467.45","435.09","445.91","445.91","109622907"
"2025-11-07","437.92","439.36","421.88","429.52","429.52","103471495"
"2025-11-10","439.6","449.6715","433.36","445.23","445.23","76515907"
"2025-11-11","439.4","442.49","432.36","439.62","439.62","60533237"
"2025-11-12","442.15","442.329","426.56","430.6","430.6","58513520"
"2025-11-13","423.13","424.5","396.34","401.99","401.99","118948032"
"2025-11-14","386.3","412.19","382.78","404.35","404.35","105506682"
"2025-11-17","398.74","423.96","398.74","408.92","408.92","102214259"
"2025-11-18","405.38","408.9","393.71","401.25","401.25","80688637"
"2025-11-19","406.18","411.78","398.5","403.99","403.99","72047704"
"2025-11-20","414.63","428.94","394.74","395.23","395.23","113548827"
"2025-11-21","402.32","402.8","383.76","391.09","391.09","100460633"
"2025-11-24","402.17","421.72","401.09","417.78","417.78","96806374"
"2025-11-25","414.42","420.48","405.95","419.4","419.4","71915624"
"2025-11-26","423.95","426.94","416.89","426.58","426.58","63462996"
"2025-11-28","426.59","432.93","426.2","430.17","430.17","36252861"
"2025-12-01","425.32","433.6599","425.29","430.14","430.14","57463552"
"2025-12-02","430.81","436.8","422.12","429.24","429.24","69336626"
"2025-12-03","432.1","447.92","431.11","446.74","446.74","87482964"
"2025-12-04","449.94","454.63","445.39","454.53","454.53","71906488"
"2025-12-05","453.03","458.87","451.66","455","455","56427522"
"2025-12-08","447.445","449.7463","435.25","439.58","439.58","68386756"
"2025-12-09","437.54","452.39","435.7","445.17","445.17","62014951"
"2025-12-10","446.065","456.88","443.61","451.45","451.45","63257475"
"2025-12-11","448.945","449.2699","440.33","446.89","446.89","55979492"
"2025-12-12","448.09","463.01","441.67","458.96","458.96","95656749"
"2025-12-15","469.44","481.7694","467.66","475.31","475.31","114542204"
"2025-12-16","472.21","491.5","465.83","489.88","489.88","107608075"
"2025-12-17","488.22","495.2799","466.2","467.26","467.26","106490405"
"2025-12-18","478.16","490.86","473.12","483.37","483.37","95168446"
"2025-12-19","488.12","490.49","474.72","481.2","481.2","103305424"
"2025-12-22","489.88","498.83","485.33","488.73","488.73","86916066"
"2025-12-23","489.395","491.97","482.84","485.56","485.56","58223633"
"2025-12-24","488.48","490.9","476.8","485.4","485.4","41285429"
"2025-12-26","485.23","489.09","473.82","475.19","475.19","58780659"
"2025-12-29","469","469.4","459","459.64","459.64","66263033"
"2025-12-30","461.09","463.12","453.83","454.43","454.43","59238464"
"2025-12-31","456.1","456.55","449.3","449.72","449.72","49077961"
"2026-01-02","457.8","458.34","435.3","438.07","438.07","85535406"
"2026-01-05","447.99","457.5499","444.57","451.67","451.67","67940839"
"2026-01-06","446.38","448.25","428.78","432.96","432.96","89093758"
"2026-01-07","435.9","438.37","431.29","431.41","431.41","59828790"
"2026-01-08","427.89","436.89","424.365","435.8","435.8","57041094"
"2026-01-09","435.945","449.05","430.39","445.01","445.01","67331456"
"2026-01-12","441.225","454.3","438","448.96","448.96","61649627"
"2026-01-13","450.2","451.81","443.95","447.2","447.2","53719214"
"2026-01-14","442.81","443.91","434.22","439.2","439.2","57259500"
"2026-01-15","441.125","445.36","437.65","438.57","438.57","49465813"
"2026-01-16","439.5","447.25","435.2601","437.5","437.5","60220551"
"2026-01-20","429.36","430.725","417.44","419.25","419.25","62208186"
"2026-01-21","421.66","438.2","419.6201","431.44","431.44","68123987"
"2026-01-22","435.16","449.5","432.63","449.36","449.36","71546729"
"2026-01-23","447.425","452.43","444.04","449.06","449.06","56771364"
"2026-01-26","445","445.04","434.28","435.2","435.2","49397415"
"2026-01-27","437.41","437.52","430.69","430.9","430.9","37321502"
"2026-01-28","431.91","438.26","430.1","431.46","431.46","54857403"
"2026-01-29","437.8","440.2299","414.62","416.56","416.56","81686127"
"2026-01-30","425.35","439.88","422.7","430.41","430.41","82626066"
"2026-02-02","421.29","427.15","414.5","421.81","421.81","58739455"
"2026-02-03","424.27","428.56","413.6901","421.96","421.96","56269638"
"2026-02-04","420.46","423.9","399.18","406.01","406.01","74606873"
"2026-02-05","397.015","402.1","387.5309","397.21","397.21","72819838"
"2026-02-06","400.87","414.55","397.751","411.11","411.11","62677144"
"2026-02-09","409.905","421.25","407.29","417.32","417.32","54484258"
"2026-02-10","418.08","427.25","417","425.21","425.21","64450233"
"2026-02-11","427.955","436.35","420.03","428.27","428.27","57361989"
"2026-02-12","430.3","436.23","414","417.07","417.07","61933359"
"2026-02-13","414.305","424.06","410.88","417.44","417.44","51434147"
"2026-02-17","412.36","413.72","400.51","410.63","410.63","59678789"
"2026-02-18","411.11","416.9","409.58","411.32","411.32","45921402"
"2026-02-19","407.25","415.2499","404.11","411.71","411.71","51019638"
"2026-02-20","408.3","414.7","405.5","411.82","411.82","57912225"
"2026-02-23","407.285","407.7","394.04","399.83","399.83","69680026"
"2026-02-24","399.5","410.82","397.64","409.38","409.38","58579482"
"2026-02-25","412.15","420.34","412.15","417.4","417.4","54809704"
"2026-02-26","414.42","416.81","403.66","408.58","408.58","53602497"
"2026-02-27","402.94","407.12","398.11","402.51","402.51","56890097"
"2026-03-02","390.6","404.54","388.25","403.32","403.32","55088338"
"2026-03-03","395.09","396.34","385.39","392.43","392.43","62617298"
"2026-03-04","397.845","408.33","394.58","405.94","405.94","68305513"
"2026-03-05","401.57","408.62","399.42","405.55","405.55","51925898"
"2026-03-06","398.09","402.35","394.21","396.73","396.73","64054561"
"2026-03-09","390.05","401.59","381.4","398.68","398.68","67018911"
"2026-03-10","402.22","406.59","398.19","399.235","399.235","59258743"
"2026-03-11","402.28","416.3799","402.15","407.82","407.82","62559930"
"2026-03-12","405.175","406.5","394.65","395.01","395.01","60973793"
"2026-03-13","399.165","400.2","389.95","391.2","391.2","58504091"
"2026-03-16","396.22","403.73","394.42","395.56","395.56","58068343"
"2026-03-17","395.69","400.12","393","399.27","399.27","46890467"
"2026-03-18","399","403.065","392.31","392.78","392.78","50853149"
"2026-03-19","387.27","387.27","378.73","380.3","380.3","67078259"
"2026-03-20","379.85","379.89","364.4601","367.96","367.96","78628603"
"2026-03-23","373.09","385.33","372.73","380.85","380.85","74606049"
"2026-03-24","376.56","387.48","376.31","383.03","383.03","60004909"
"2026-03-25","389.99","396.23","385.01","385.95","385.95","55157265"
"2026-03-26","381.6","384.44","371.87","372.11","372.11","55522879"
"2026-03-27","369.69","369.86","359.47","361.83","361.83","62065659"
"2026-03-30","365.86","367.29","352.14","355.28","355.28","67954405"
"2026-03-31","361.51","373.33","361","371.75","371.75","75534934"
"2026-04-01","378.69","383.14","374.08","381.26","381.26","57810233"
