"Date","Open","High","Low","Close","Adj Close","Volume"
"2025-11-03","1482.3","1491.4","1474.2","1485.5","1485.5","5470600"
"2025-11-04","1479.7","1481.9","1462.9","1467.9","1467.9","8691330"
"2025-11-06","1478.6","1483","1461.9","1466.7","1466.7","7944752"
"2025-11-07","1470","1480.9","1449.1","1476.8","1476.8","8765759"
"2025-11-10","1490.1","1520","1490","1513.5","1513.5","9787975"
"2025-11-11","1525","1533.4","1511.1","1530.3","1530.3","13692989"
"2025-11-12","1540","1559.2","1538.1","1551.7","1551.7","14635417"
"2025-11-13","1557.1","1557.5","1530.3","1541.8","1541.8","19655689"
"2025-11-14","1520","1530","1488.8","1502.8","1502.8","9739549"
"2025-11-17","1496","1510.2","1492.5","1507.6","1507.6","7910354"
"2025-11-18","1506","1506","1483.2","1486.4","1486.4","7525119"
"2025-11-19","1490.5","1543","1490.5","1541.1","1541.1","10981126"
"2025-11-20","1555","1555","1534","1536.5","1536.5","7387584"
"2025-11-21","1531","1551.5","1526.3","1545","1545","9186302"
"2025-11-24","1563.6","1585","1541","1548","1548","19270381"
"2025-11-25","1549","1550.6","1525.9","1530.6","1530.6","8107952"
"2025-11-26","1532.1","1560.3","1532.1","1557.9","1557.9","7575038"
"2025-11-27","1564","1574.3","1552.2","1566.4","1566.4","7552252"
"2025-11-28","1565","1568.4","1557","1560.1","1560.1","4453221"
"2025-12-01","1562.5","1574","1556","1564","1564","5341800"
"2025-12-02","1567","1579.9","1556.1","1561","1561","6335969"
"2025-12-03","1555.1","1586","1554.1","1578.7","1578.7","12895312"
"2025-12-04","1568","1599","1568","1597.6","1597.6","12609619"
"2025-12-05","1610","1631.8","1600","1616.2","1616.2","10344725"
"2025-12-08","1617.1","1630","1600.2","1610.8","1610.8","7550413"
"2025-12-09","1601.2","1606.9","1582.4","1599","1599","6957599"
"2025-12-10","1608","1608","1582.8","1584.8","1584.8","5116140"
"2025-12-11","1598","1607.4","1580.5","1598","1598","5159319"
"2025-12-12","1601.4","1601.8","1582.6","1598.2","1598.2","4633912"
"2025-12-15","1585","1610.8","1585","1606.8","1606.8","4190558"
"2025-12-16","1600","1603","1585.6","1592.9","1592.9","5499258"
"2025-12-17","1587.2","1606.9","1586","1602","1602","4817628"
"2025-12-18","1610.5","1630","1606.7","1626.8","1626.8","6577293"
"2025-12-19","1650","1654.9","1629.8","1638.7","1638.7","13149023"
"2025-12-22","1664","1693.2","1664","1689.6","1689.6","23098923"
"2025-12-23","1679","1679","1656.4","1668.3","1668.3","6593060"
"2025-12-24","1661","1667.6","1652.5","1663.4","1663.4","4271167"
"2025-12-26","1663.4","1668.8","1651.7","1656.1","1656.1","2006491"
"2025-12-29","1658","1673.1","1637.1","1644.7","1644.7","4062817"
"2025-12-30","1647","1647.9","1616.8","1621.6","1621.6","9395937"
"2025-12-31","1621","1628.6","1609.2","1615.4","1615.4","6538656"
"2026-01-01","1615.4","1639.6","1614.1","1629.8","1629.8","3658165"
"2026-01-02","1635.9","1643.5","1627.5","1640.4","1640.4","2524526"
"2026-01-05","1637","1637","1583.1","1606.4","1606.4","5917885"
"2026-01-06","1600.1","1619.9","1599","1612.2","1612.2","4466729"
"2026-01-07","1615","1642","1615","1639","1639","4508079"
"2026-01-08","1638.9","1644.3","1608.6","1613.3","1613.3","3942131"
"2026-01-09","1610","1631.3","1607","1614.1","1614.1","6816681"
"2026-01-12","1610.1","1613.3","1592.6","1595.9","1595.9","6985362"
"2026-01-13","1618","1618","1586.4","1599","1599","8080618"
"2026-01-14","1588","1617","1583.1","1599.8","1599.8","7557157"
"2026-01-16","1663.7","1694","1653.4","1689.8","1689.8","19335957"
"2026-01-19","1685","1685","1666.5","1681.2","1681.2","5104958"
"2026-01-20","1673","1680.2","1652.9","1658.9","1658.9","6406503"
"2026-01-21","1651","1657","1631.2","1654.4","1654.4","6224582"
"2026-01-22","1666","1671.2","1653.8","1663.5","1663.5","6228892"
"2026-01-23","1667.2","1675.7","1662.2","1670.8","1670.8","5869137"
"2026-01-27","1685.8","1689.4","1661.1","1682.7","1682.7","10673087"
"2026-01-28","1680","1688.8","1650","1666.5","1666.5","8588664"
"2026-01-29","1658","1666.5","1642.1","1659.5","1659.5","4749582"
"2026-01-30","1655","1655","1618.1","1641","1641","9207926"
"2026-02-02","1662","1662","1618","1629.4","1629.4","6784887"
"2026-02-03","1727.2","1728","1653","1656","1656","8805868"
"2026-02-04","1574","1584.9","1510.1","1535.8","1535.8","28828622"
"2026-02-05","1534","1551","1515.7","1520.2","1520.2","10628127"
"2026-02-06","1522.1","1525","1480","1507.1","1507.1","13900866"
"2026-02-09","1522.1","1528","1493","1497.2","1497.2","8294615"
"2026-02-10","1500","1515.9","1491","1497.8","1497.8","8657000"
"2026-02-11","1501.2","1505.9","1469","1471.9","1471.9","7934411"
"2026-02-12","1428.9","1435.7","1380.5","1386","1386","26048896"
"2026-02-13","1293.9","1377.3","1281.5","1369.1","1369.1","45785709"
"2026-02-16","1373.7","1376","1338.3","1365.6","1365.6","14621891"
"2026-02-17","1370","1431","1367","1391.2","1391.2","25347684"
"2026-02-18","1390.9","1401","1345.3","1373.7","1373.7","20241373"
"2026-02-19","1385","1402","1363.2","1370.5","1370.5","14574228"
"2026-02-20","1359.2","1365","1338.2","1353.2","1353.2","12633552"
"2026-02-23","1352","1352","1318","1327.5","1327.5","12887826"
"2026-02-24","1301","1303.6","1264.1","1275.5","1275.5","27839061"
"2026-02-25","1286.2","1323.6","1286.2","1290.1","1290.1","16669618"
"2026-02-26","1305.5","1314","1286.3","1289.1","1289.1","11493914"
"2026-02-27","1326.3","1335","1294.2","1300.1","1300.1","23141724"
"2026-03-02","1291","1298.8","1273","1288.9","1288.9","9700361"
"2026-03-04","1292","1317","1292","1307.4","1307.4","15154950"
"2026-03-05","1320","1320","1290.1","1305.8","1305.8","10362147"
"2026-03-06","1303","1327.2","1303","1308.4","1308.4","8724291"
"2026-03-09","1290","1318","1282.5","1315","1315","10068514"
"2026-03-10","1320","1321","1284.1","1295.6","1295.6","9600171"
"2026-03-11","1288","1299.5","1271.3","1276.3","1276.3","7868891"
"2026-03-12","1272.5","1278.6","1258","1265.8","1265.8","7599940"
"2026-03-13","1251","1269.6","1242.6","1248.3","1248.3","7366098"
"2026-03-16","1240.2","1254.3","1224.2","1249.8","1249.8","12314450"
"2026-03-17","1245","1245","1215.1","1232.9","1232.9","11223276"
"2026-03-18","1238","1290.8","1234.9","1267.1","1267.1","12365381"
"2026-03-19","1244.2","1255","1215.1","1220.8","1220.8","9156461"
"2026-03-20","1242","1264.8","1229.2","1255.9","1255.9","27299975"
"2026-03-23","1238.2","1261.1","1227.4","1256.8","1256.8","12420293"
"2026-03-24","1269","1297","1251","1278.3","1278.3","13613495"
"2026-03-25","1270","1290.6","1257.1","1279.1","1279.1","10824030"
"2026-03-27","1285.2","1294.8","1263.2","1269.7","1269.7","13092541"
"2026-03-30","1250","1265.5","1243","1250.6","1250.6","14108486"
