"Date","Open","High","Low","Close","Adj Close","Volume"
"2025-12-16","3220","3220","3191.1","3205.1","3205.1","1734623"
"2025-12-17","3200.5","3236.9","3200.5","3217.8","3217.8","1376350"
"2025-12-18","3228","3287.8","3221","3280.8","3280.8","2307422"
"2025-12-19","3299","3317.9","3278.8","3282","3282","3902511"
"2025-12-22","3310","3328.6","3291","3324.9","3324.9","2632816"
"2025-12-23","3319.9","3319.9","3293.5","3310","3310","2365420"
"2025-12-24","3304.1","3327.1","3296.1","3319","3319","1367708"
"2025-12-26","3313.1","3320","3271.8","3280","3280","1176664"
"2025-12-29","3280","3288","3242.9","3251.5","3251.5","2079473"
"2025-12-30","3250","3267.5","3239.5","3246.8","3246.8","2807593"
"2025-12-31","3240","3246","3198.5","3206.2","3206.2","3362634"
"2026-01-01","3215","3234.1","3198.2","3227.4","3227.4","1255735"
"2026-01-02","3234","3254.3","3219.5","3250.7","3250.7","1184324"
"2026-01-05","3240.5","3247","3191","3216.1","3216.1","2341703"
"2026-01-06","3210","3263.2","3205","3255.8","3255.8","2912325"
"2026-01-07","3242.9","3300.6","3223.2","3295.6","3295.6","1989442"
"2026-01-08","3286.9","3286.9","3182","3203.9","3203.9","4159336"
"2026-01-09","3191","3229.7","3191","3207.8","3207.8","1938673"
"2026-01-12","3203","3252","3174.3","3239.6","3239.6","2228342"
"2026-01-13","3245","3280","3210.5","3268","3268","5645341"
"2026-01-14","3260","3260","3183","3192.5","3192.5","3539511"
"2026-01-16","3219.4","3221.9","3171","3206.7","3206.7","4293470"
"2026-01-19","3188","3220","3152.1","3163.6","3163.6","3387562"
"2026-01-20","3151.6","3160","3091.1","3102.3","3102.3","4499273"
"2026-01-21","3100","3138.5","3082","3122.6","3122.6","2015150"
"2026-01-22","3150","3160","3122.3","3150.4","3150.4","2269827"
"2026-01-23","3190.3","3194.5","3152","3162.5","3162.5","2068857"
"2026-01-27","3175","3175","3130","3158","3158","4279874"
"2026-01-28","3176","3205.2","3170.6","3200.1","3200.1","2751234"
"2026-01-29","3200.1","3200.1","3125.6","3144.4","3144.4","2457641"
"2026-01-30","3141","3141","3092","3123.9","3123.9","3022068"
"2026-02-02","3198","3198","3134","3169.6","3169.6","2636272"
"2026-02-03","3350","3350","3186.3","3225.3","3225.3","4366060"
"2026-02-04","3120","3120","2986","2999.1","2999.1","10852595"
"2026-02-05","2990","3029.7","2972.3","2991.5","2991.5","3521545"
"2026-02-06","2976.6","2985","2916","2941.6","2941.6","4687389"
"2026-02-09","2959.1","2977","2937.5","2948.2","2948.2","2380318"
"2026-02-10","2949.8","3011.6","2943.5","2984.6","2984.6","3547763"
"2026-02-11","2980","2998","2904.2","2909.8","2909.8","3363513"
"2026-02-12","2869.8","2880","2740","2750.1","2750.1","10612156"
"2026-02-13","2585","2713","2585","2692.2","2692.2","11168735"
"2026-02-16","2700","2719.8","2671","2706.6","2706.6","2918730"
"2026-02-17","2716","2760","2695.2","2717.4","2717.4","4209118"
"2026-02-18","2730","2730","2657.3","2694.9","2694.9","2950820"
"2026-02-19","2708","2748.7","2666.6","2677.9","2677.9","3238849"
"2026-02-20","2667","2702.6","2647.5","2686.2","2686.2","2293482"
"2026-02-23","2686","2704","2660.2","2676.3","2676.3","4699596"
"2026-02-24","2641","2647.5","2561.3","2573.7","2573.7","7798833"
"2026-02-25","2596","2654.2","2595","2629.3","2629.3","3621285"
"2026-02-26","2650","2671","2635","2647.7","2647.7","3464267"
"2026-02-27","2681.6","2688.6","2626.1","2637.4","2637.4","5083717"
"2026-03-02","2592","2623.8","2580.3","2613.5","2613.5","3374385"
"2026-03-04","2625","2635","2580.4","2587.8","2587.8","3446434"
"2026-03-05","2600","2609.5","2546.4","2578.8","2578.8","2960636"
"2026-03-06","2572","2619.2","2553.6","2557.6","2557.6","3998643"
"2026-03-09","2530","2560","2505","2527.4","2527.4","3653428"
"2026-03-10","2541","2545.2","2490.1","2513.1","2513.1","4323710"
"2026-03-11","2508.1","2521","2460.1","2464.9","2464.9","2720664"
"2026-03-12","2459.8","2472.9","2436","2442.4","2442.4","2752075"
"2026-03-13","2437","2445.9","2397","2410.5","2410.5","2466488"
"2026-03-16","2410","2425","2366.1","2409.2","2409.2","3807907"
"2026-03-17","2420","2420","2360","2391.7","2391.7","2993367"
"2026-03-18","2410","2482.9","2410","2440.8","2440.8","3082388"
"2026-03-19","2417","2424","2350.2","2356","2356","2757060"
"2026-03-20","2386","2407.8","2364.2","2390.6","2390.6","4206320"
"2026-03-23","2365","2406.8","2348","2383.8","2383.8","3860515"
"2026-03-24","2404.1","2435.4","2379.1","2398.8","2398.8","3420182"
"2026-03-25","2400.9","2421.6","2369.8","2377.4","2377.4","5843778"
"2026-03-27","2403.9","2422.1","2385","2389.8","2389.8","4979411"
"2026-03-30","2375.1","2398","2346.2","2358.9","2358.9","6804756"
